dataset,components
ccle,"1,2,5,10,17,18,50,100"
cifar100,"1,2,5,10,20,50,99,100,200,300"
gtex_v8,"1,2,5,10,20,30,32,50,100,200"
metref,"1,2,5,10,21,22,50,100,150"
retina,"1,2,5,10,20,30,50"
tabula,"1,2,5,10,20,31,32,50"
tcga_brca,"1,2,3,5,10,20,50"
tcga_hnsc_methylation,"1,2,5,10,20,50"
tcga_pan_cancer,"1,2,5,10,20,31,32,50,100,200"
cbmc_citeseq,"1,2,5,10,20,31,44,50"
prism,"1,2,5,6,10,20,50,100"
nmr,"1,2,3,5,8,10,25,50,75,100,125,150,165,175,200,250,300"
imagenet,"50,100,200,300,400,500,600,700,800,900,1000"
